Admiral
Ahtanum
Amarillo
Apollo
Bullion
Cascade
Centennial
Challenger
Chinook
Citra
Cluster
Columbus
Crystal
Eroica
Fuggles
Galaxy
Galena
Glacier
Goldings
Greenburg
Hallertau
Herald
Hersbrucker
Horizon
Liberty
Lublin
Magnum
Millennium
Motueka
MountHood
MountRainier
Newport
Northdown
NorthernBrewer
Nugget
Palisade
Perle
Phoenix
Pilot
Pioneer
Progress
Riwaka
Saaz
Santiam
Saphir
Satus
Select
Simcoe
Spalt
Sterling
Strisselspalt
Summit
Target
Tettnang
Tomahawk
Tradition
Ultra
Vanguard
Warrior
Willamette
Zeus
