aardvark
albatross
alligator
alpaca
anole
ant,🐜
anteater
antelope
ape
armadillo
baboon
badger,🦡
barracuda
bat,🦇
bear,🐻
beaver,🦫
bee
beetle
bird,🐦
bison,🦬
boar,🐗
bobcat
buffalo
butterfly,🦋
camel,🐪
capybara
cat,🐱,🐈
caterpillar
cheetah
chicken,🐔
chimpanzee
chinchilla
chipmonk,🐿
cougar
cow,🐮,🐄
coyote
crab
crane
cricket,🦗
crocodile,🐊
crow
deer,🦌
dodo,🦤
dog,🐶,🐕
dolphin,🐬
donkey
dove,🕊
dragonfly
duck,🦆
eagle,🦅
eel
elephant,🐘
elk
emu
falcon
ferret
finch
fish,🐟
flamingo,🦩
fly,🪰
fox,🦊
frog,🐸
gazelle
gecko
gerbil
giraffe,🦒
goat,🐐
goose
gorilla,🦍
grasshopper
grouse
hamster,🐹
hare
hawk
hedgehog,🦔
heron
hippopotamus,🦛
honeybee,🐝
hornet
horse,🐴,🐎
humingbird
hyena
ibis
iguana
impala
jackal
jaguar
jay
jellyfish
kangaroo,🦘
koala,🐨
ladybug,🐞
lark
lemur
leopard,🐆
lion,🦁
lizard,🦎
llama,🦙
lobster
loris
lynx
macaw
mallard
mammoth,🦣
manatee
meerkat
mongoose
monkey,🐵,🐒
moose
mosquito,🦟
mouse,🐭,🐁
narwhal
ocelot
octopus,🐙
okapi
opossum
orangutan,🦧
ostrich
otter,🦦
owl,🦉
ox,🐂
panda,🐼
panther
parrot,🦜
peacock,🦚
penguin,🐧
pheasant
pig,🐖
platypus
porcupine
porpoise
rabbit,🐰,🐇
raccoon,🦝
ram,🐏
rat,🐀
raven
reindeer
rhinoceros,🦏
salamander
salmon
sauropod,🦕
scorpion,🦂
seahorse
seal
serval
shark,🦈
sheep,🐑
skunk,🦨
sloth,🦥
snail,🐌
snake,🐍
spider,🕷
squid
squirrel
starling
swan,🦢
tapir
tiger,🐯,🐅
toad
toucan
t-rex,🦖
turkey,🦃
turtle,🐢
viper
vulture
wallaby
walrus
wasp
water buffalo,🐃
weasel
whale,🐋
wolf,🐺
wolverine
wombat
woodpecker
worm
wren
yak
zebra,🦓
