Banshee
Basilisk
Bigfoot
Centaur
Charybdis
Chimaera
Cocatrice
Dragon
Faerie
Fury
Gargoyle
Gryphon
Harpy
Hippogriff
Hydra
Lamia
Manticore
Minotaur
Nymph
Pegasus
Phoenix
Roc
Satyr
Scylla
Siren
Sphinx
Unicorn
Vampire
Veela
Yeti
