Aloe
Angelica
Arnica
Astragalus
Bacopa
Basil
Boldo
Borage
Buchu
Burdock
Caraway
Celery
Chervil
Chili
Chiretta
Chives
Cicely
Cilantro
Cinnamon
Coriander
Culantro
Cress
Dill
Epazote
Garlic
Horse Chestnut
Hyssop
Jimbu
Lavender
Lovage
Lemon Myrtle
Lemon Verbena
Lovage
Marjoram
Mint
Mitsuba
Mugwort
Neem
Onion
Oregano
Parsley
Perilla
Rosemary
Rue
Sage
Sansho
Savory
Senna
Shiso
Sorrel
Spearmint
Tarragon
Thyme
Watercress
Woodruff
Yarrow
