Amethyst
Amphibolite
Andesite
Basalt
Bluestone
Breccia
Calcrete
Chalk
Chert
Coal
Conglomerate
Dacite
Diamond
Dolomite
Emerald
Flagstone
Flint
Gneiss
Gabbro
Granite
Greywacke
Greenstone
Gypsum
Halite
Hematite
Ironstone
Jade
Jasper
Kimberlite
Limestone
Lodestone
Marble
Mudstone
Mylonite
Norite
Obsidian
Onyx
Pegmatite
Phyllite
Pumice
Pyrite
Quartz
Quartzite
Rhyolite
Ruby
Schist
Scoria
Shale
Siltstone
Slate
Soapstone
Sandstone
Touchstone
Tuff
Uraninite
Vauxite
Wolframite
Xenolite
Ytterbite
Zirconium
